time,value
1574119476,2194660.571
1574119701,2188199.053
1574120121,2208292.119
1574121641,2214642.639
1574125221,2193437.444
1574128821,2211829.537
1574132421,2200363.718
1574136041,2207128.999
1574139622,2199853.537
1574143221,2192455.086
1574146822,2204533.634
1574150421,2200084.916
1574154022,2211330.659
1574157621,2208093.997
1574161221,2204968.281
1574164821,2194072.950
1574168422,2197430.143
1574172021,2212686.062
1574175622,2212369.007
1574179221,2196315.856
1574182842,2194694.011
1574186422,2211085.746
1574190021,2199816.106
1574193622,2210810.597
1574197221,2180239.473
1574200821,2202843.784
1574204421,2207874.331
1574208041,2210928.347
1574211621,2198047.478
1574215222,2205225.436
1574218822,2216616.187
1574222441,2224322.149
1574226042,2193939.158
1574229621,2209486.151
1574233221,2194496.301
1574236841,2206456.304
1574240442,2194439.306
1574244021,2206648.914
1574247621,2205560.167
1574251221,2207471.914
1574254821,2206931.198
1574258421,2216132.081
1574262022,2209991.934
1574265621,2212623.784
1574269221,2207836.627
1574272821,2204204.648
1574276421,2209452.485
1574280021,2208250.083
1574283621,2198396.247
1574287222,2196949.208
1574290821,2213761.991
1574294422,2213694.401
1574298021,2207310.943
1574301621,2215426.330
1574305222,2206026.965
1574308821,2205595.980
1574312422,2202958.199
1574316041,2204996.600
1574319621,2191898.867
1574323221,2211446.869
1574326822,2215354.980
1574330441,2217164.866
1574334022,2201977.238
