time,value
1574119525,1541
1574119749,1551
1574120170,1523
1574121689,1402
1574125270,1396
1574128870,1379
1574132470,1545
1574136090,1615
1574139670,1555
1574143270,1512
1574146870,1591
1574150470,1478
1574154071,1441
1574157670,1519
1574161270,1538
1574164870,1582
1574168470,1406
1574172070,1371
1574175670,1509
1574179270,1493
1574182890,1404
1574186470,1503
1574190070,1494
1574193670,1440
1574197270,1502
1574200870,1460
1574204470,1506
1574208090,1496
1574211670,1429
1574215271,1469
1574218870,1376
1574222490,1606
1574226090,1519
1574229669,1550
1574233270,1464
1574236890,1486
1574240490,1552
1574244070,1556
1574247670,1568
1574251269,1757
1574254870,1635
1574258470,1756
1574262070,1754
1574265670,1670
1574269270,1723
1574272870,1644
1574276470,1656
1574280070,1630
1574283670,1678
1574287271,1698
1574290870,1738
1574294470,1669
1574298070,1657
1574301670,1645
1574305270,1615
1574308870,1635
1574312470,1570
1574316089,1688
1574319670,1654
1574323270,1567
1574326870,1704
1574330490,1736
1574334070,1656
