time,value
1574119553,68.320
1574119777,68.310
1574120198,68.310
1574121717,68.310
1574125298,68.310
1574128898,68.310
1574132498,68.306
1574136118,68.320
1574139699,68.310
1574143298,68.310
1574146899,68.105
1574150498,68.310
1574154099,68.292
1574157698,68.306
1574161298,68.310
1574164898,68.301
1574168498,68.310
1574172098,68.310
1574175699,68.306
1574179298,68.301
1574182918,68.306
1574186498,68.306
1574190098,68.306
1574193698,68.301
1574197299,68.301
1574200898,68.306
1574204499,68.310
1574208118,68.306
1574211698,68.306
1574215299,68.310
1574218899,68.310
1574222518,68.296
1574226119,67.874
1574229697,68.310
1574233298,68.301
1574236918,68.306
1574240519,68.310
1574244098,68.310
1574247698,68.310
1574251298,68.310
1574254898,68.282
1574258498,68.306
1574262099,68.310
1574265698,68.310
1574269298,68.310
1574272899,68.306
1574276498,68.306
1574280098,68.310
1574283698,68.310
1574287299,68.306
1574290898,68.310
1574294499,68.306
1574298098,68.310
1574301698,68.306
1574305298,68.310
1574308898,68.315
1574312499,68.306
1574316118,68.310
1574319698,68.292
1574323298,68.306
1574326899,68.306
1574330518,68.306
1574334099,68.292
