time,value
1574119486,5.278
1574119711,5.083
1574120132,5.325
1574121651,5.180
1574125232,5.331
1574128831,5.295
1574132432,5.145
1574136052,5.139
1574139632,5.326
1574143232,5.296
1574146832,5.376
1574150432,5.327
1574154032,5.327
1574157632,5.374
1574161232,5.377
1574164832,5.255
1574168432,5.319
1574172032,5.348
1574175632,5.199
1574179232,5.355
1574182852,5.154
1574186432,5.276
1574190032,5.265
1574193632,5.162
1574197232,5.422
1574200832,5.228
1574204432,5.376
1574208052,5.422
1574211632,5.373
1574215232,5.265
1574218832,5.313
1574222452,5.178
1574226052,5.193
1574229631,5.104
1574233232,5.271
1574236852,5.314
1574240452,5.109
1574244032,5.392
1574247632,5.382
1574251231,5.181
1574254831,5.138
1574258431,5.146
1574262032,5.256
1574265632,5.359
1574269232,5.339
1574272832,5.297
1574276432,5.425
1574280032,5.383
1574283632,5.133
1574287232,5.339
1574290832,5.094
1574294432,5.250
1574298032,5.193
1574301632,5.347
1574305232,5.160
1574308832,5.305
1574312432,5.307
1574316051,5.100
1574319631,5.130
1574323232,5.283
1574326832,5.304
1574330452,5.314
1574334032,5.264
