time,value
1574154127,322
1574157729,323
1574161330,323
1574164931,322
1574168529,322
1574172130,322
1574175732,322
1574179329,322
1574182928,322
1574186529,322
1574190130,322
1574193729,323
1574197330,322
1574200927,322
1574204530,322
1574208131,322
1574211728,323
1574215327,321
1574218930,322
1574222530,322
1574226128,322
1574229727,321
1574233330,321
1574236929,322
1574240530,322
1574244131,322
1574247730,325
1574251331,323
1574254930,323
1574258532,322
1574262131,322
1574265737,323
1574269340,323
1574272938,323
1574276539,324
1574280139,323
1574283738,321
1574287337,320
1574290939,320
1574294539,321
1574298139,320
1574301736,320
1574305335,319
1574308937,320
1574312536,325
1574316135,322
1574319735,328
1574323333,321
1574326935,323
1574330536,323
