time,value
1574154154,37.545
1574157756,37.541
1574161357,37.591
1574164958,37.578
1574168556,37.575
1574172157,37.575
1574175759,37.550
1574179356,37.534
1574182955,37.558
1574186555,37.579
1574190157,37.569
1574193755,37.577
1574197357,37.572
1574200954,37.569
1574204557,37.543
1574208158,37.560
1574211754,37.544
1574215354,37.568
1574218957,37.547
1574222557,37.524
1574226155,37.574
1574229753,37.579
1574233357,37.555
1574236956,37.557
1574240557,37.557
1574244157,37.540
1574247756,37.564
1574251357,37.534
1574254956,37.575
1574258558,37.541
1574262158,37.568
1574265764,37.482
1574269367,37.503
1574272964,37.492
1574276566,37.496
1574280166,37.423
1574283765,37.437
1574287364,37.429
1574290966,37.471
1574294565,37.493
1574298165,37.502
1574301763,37.509
1574305361,37.503
1574308963,37.524
1574312562,37.470
1574316162,37.491
1574319762,37.500
1574323360,37.520
1574326961,37.488
1574330563,37.486
