time,value
1576068857,2723637.322
1576068918,2749462.803
1576068979,2725389.359
1576069040,2738130.582
1576069101,2752155.850
1576069161,2739473.415
1576069222,2766164.197
1576069282,2765059.922
1576069344,2745461.374
1576069407,2700020.882
1576069468,2741156.610
1576069531,2720422.561
1576069593,2736654.707
1576069655,2714835.774
1576069716,2752671.401
1576069778,2781402.095
1576069839,2727581.755
1576069901,2735628.956
1576069962,2713521.612
1576070024,2727924.121
1576070085,2713609.961
1576070147,2709055.577
1576070210,2709800.577
1576070272,2730419.659
1576070332,2707020.888
1576070395,2739853.750
1576070458,2700581.140
1576070521,2680177.117
1576070581,2691457.471
1576070642,2660469.373
1576070705,2668507.400
1576070767,2668563.310
1576070830,2686096.476
1576070892,2675694.476
1576070953,2716044.133
1576071015,2693480.486
1576071077,2712271.963
1576071138,2713065.206
1576071200,2693418.964
1576071263,2678322.428
1576071325,2694956.341
1576071387,2684025.790
1576071450,2683688.145
1576071513,2681804.467
1576071575,2678957.817
1576071637,2717580.958
1576071698,2734839.542
1576071759,2698106.073
1576071821,2670561.512
1576071882,2721368.783
1576071944,2712456.217
