time,value
1576068885,327.93
1576068945,328.93
1576069006,328.93
1576069067,329.07
1576069128,329.57
1576069188,328.87
1576069249,329.70
1576069310,328.47
1576069372,329.70
1576069435,329.73
1576069496,327.63
1576069559,327.77
1576069621,328.80
1576069683,327.90
1576069745,327.57
1576069805,328.83
1576069867,329.03
1576069928,329.10
1576069990,326.83
1576070051,328.87
1576070113,329.03
1576070176,327.30
1576070238,329.67
1576070298,327.60
1576070361,329.53
1576070423,327.53
1576070487,328.77
1576070547,329.67
1576070607,327.27
1576070670,329.60
1576070733,329.67
1576070795,329.33
1576070857,328.27
1576070919,327.57
1576070981,329.57
1576071043,328.87
1576071104,327.60
1576071166,329.67
1576071228,328.87
1576071291,328.07
1576071353,329.47
1576071415,328.83
1576071478,329.70
1576071541,326.27
1576071603,328.73
1576071664,328.33
1576071725,324.87
1576071787,328.37
1576071849,328.27
1576071910,326.97
1576071971,328.83
