time,value
1576068886,1049575831
1576068946,971497175
1576069007,1043768475
1576069068,975267490
1576069129,991675802
1576069189,1005003997
1576069250,1025826468
1576069311,1084771174
1576069373,995737708
1576069436,991191666
1576069497,1019605694
1576069560,973454897
1576069622,1070576541
1576069684,997297719
1576069745,960841449
1576069806,1037159394
1576069868,985318048
1576069929,991822985
1576069991,979274533
1576070052,1061469003
1576070114,1082891367
1576070177,1035000714
1576070239,1055838052
1576070299,986483102
1576070362,1060276820
1576070424,1013051512
1576070488,1038343355
1576070548,1034918900
1576070608,1052911686
1576070671,1082226319
1576070734,998807870
1576070796,1028673348
1576070858,1016978180
1576070920,958991031
1576070982,1047993708
1576071044,1022802732
1576071105,976144162
1576071167,1080924576
1576071229,994165354
1576071292,982869690
1576071354,1006648542
1576071416,1077616365
1576071479,1042660939
1576071542,1039193080
1576071605,1062523455
1576071666,1054516492
1576071726,1013853291
1576071788,1031808548
1576071850,992172501
1576071911,1013822327
1576071972,1060151502
