time,value
1576068868,2.675
1576068929,2.709
1576068990,2.754
1576069051,2.718
1576069112,2.706
1576069172,2.655
1576069232,2.639
1576069294,2.722
1576069356,2.887
1576069418,2.912
1576069480,2.901
1576069543,2.917
1576069605,2.953
1576069667,2.893
1576069728,2.864
1576069789,2.857
1576069851,2.814
1576069912,2.797
1576069974,2.933
1576070035,2.752
1576070097,2.763
1576070159,2.826
1576070221,2.857
1576070282,3.228
1576070344,3.047
1576070407,3.057
1576070470,3.146
1576070531,3.277
1576070591,3.250
1576070654,2.880
1576070716,2.867
1576070779,2.815
1576070841,2.803
1576070903,2.810
1576070965,2.815
1576071026,2.770
1576071088,2.777
1576071150,2.829
1576071212,2.918
1576071274,2.823
1576071336,2.878
1576071399,2.900
1576071462,2.903
1576071525,2.923
1576071587,2.979
1576071648,2.699
1576071709,2.576
1576071770,2.687
1576071832,2.788
1576071894,2.815
1576071955,2.824
