time,value
1576136326,2481169.640
1576136393,2480873.358
1576136460,2485663.827
1576136526,2490012.530
1576136588,2495967.516
1576136650,2493333.082
1576136712,2484463.325
1576136774,2494392.566
1576136836,2489193.625
1576136899,2496071.587
1576136965,2484822.318
1576137032,2492888.372
1576137098,2495149.913
1576137160,2482945.800
1576137222,2480877.373
1576137284,2497773.510
1576137351,2492853.914
1576137417,2497134.708
1576137479,2494966.733
1576137541,2480950.075
1576137608,2492496.505
1576137675,2486910.011
1576137741,2472744.562
1576137803,2486505.617
1576137866,2475253.996
1576137933,2471632.504
1576138000,2484662.945
1576138066,2490772.422
1576138132,2492055.132
1576138194,2492696.983
1576138256,2486361.006
1576138323,2490620.667
1576138389,2501693.677
1576138451,2488068.313
1576138513,2487594.771
1576138575,2483676.234
1576138637,2483595.038
1576138699,2488932.660
1576138762,2489562.650
1576138828,2471565.756
1576138894,2503742.645
1576138961,2488110.715
1576139027,2479597.260
1576139089,2492870.564
1576139156,2491193.966
1576139222,2494760.959
1576139289,2508516.954
1576139355,2495810.338
1576139421,2500139.309
1576139484,2474970.685
1576139550,2494128.625
