time,value
1576136356,331.80
1576136422,331.27
1576136489,331.27
1576136551,331.90
1576136613,331.83
1576136675,331.87
1576136737,331.87
1576136799,331.80
1576136862,331.80
1576136928,331.83
1576136995,331.83
1576137061,331.93
1576137123,331.87
1576137185,332.00
1576137247,331.93
1576137314,331.87
1576137380,331.87
1576137442,331.27
1576137504,331.33
1576137571,331.40
1576137637,331.27
1576137704,331.33
1576137766,331.37
1576137828,331.43
1576137895,331.27
1576137962,331.40
1576138029,331.07
1576138095,331.97
1576138157,331.83
1576138219,331.90
1576138286,331.97
1576138352,331.90
1576138414,331.93
1576138476,332.03
1576138538,331.93
1576138600,332.00
1576138662,331.27
1576138724,331.37
1576138791,331.87
1576138857,331.33
1576138924,331.90
1576138990,331.33
1576139052,331.63
1576139119,331.90
1576139185,331.77
1576139252,332.00
1576139318,331.93
1576139385,331.90
1576139446,332.00
1576139513,331.87
1576139580,332.00
