time,value
1576136357,1419332395
1576136424,1383133980
1576136490,1411082004
1576136553,1393270810
1576136615,1379191614
1576136677,1392546551
1576136739,1384984939
1576136801,1410026847
1576136863,1389649399
1576136930,1367410921
1576136996,1390311177
1576137063,1400664626
1576137125,1382723518
1576137187,1413003736
1576137249,1356579159
1576137315,1400850973
1576137382,1398596980
1576137444,1378902987
1576137506,1361955381
1576137572,1384019125
1576137639,1388273175
1576137706,1367854095
1576137768,1389485089
1576137830,1386325441
1576137897,1392852494
1576137964,1390372087
1576138030,1387685831
1576138097,1378187721
1576138159,1385069966
1576138221,1389639160
1576138287,1376466568
1576138354,1372427249
1576138416,1395266570
1576138478,1409040795
1576138540,1384708026
1576138602,1435455900
1576138664,1383887677
1576138726,1411920675
1576138792,1374092057
1576138859,1386911325
1576138925,1367792564
1576138992,1401055168
1576139054,1397735466
1576139120,1389627642
1576139187,1380828595
1576139253,1386957581
1576139320,1390362685
1576139386,1367203219
1576139448,1381012794
1576139514,1369518104
1576139581,1378254905
