time,value
1576136340,4.609
1576136407,4.611
1576136473,4.547
1576136536,4.756
1576136598,4.603
1576136660,4.593
1576136722,4.620
1576136784,4.509
1576136846,4.766
1576136913,4.607
1576136979,4.576
1576137046,4.571
1576137108,4.617
1576137170,4.541
1576137232,4.571
1576137298,4.607
1576137365,4.609
1576137427,4.599
1576137489,4.603
1576137555,4.575
1576137622,4.632
1576137689,4.630
1576137751,4.561
1576137813,4.544
1576137879,4.643
1576137947,4.671
1576138013,4.560
1576138080,4.605
1576138142,4.536
1576138204,4.537
1576138270,4.582
1576138336,4.550
1576138399,4.719
1576138461,4.597
1576138523,4.561
1576138585,4.537
1576138647,4.518
1576138709,4.678
1576138775,4.512
1576138842,4.556
1576138908,4.563
1576138974,4.617
1576139037,4.555
1576139103,4.576
1576139170,4.636
1576139236,4.533
1576139303,4.607
1576139369,4.550
1576139431,4.552
1576139497,4.587
1576139564,4.569
