time,value
1576158817,23 20
1576159087,25 18
1576159118,23 20
1576159145,24 20
1576159171,23 22
1576159199,21 23
1576159226,23 21
1576159256,24 21
1576159281,23 21
1576159311,24 20
1576159336,22 23
1576159362,23 21
1576159393,23 20
1576159420,20 23
1576159445,23 21
1576159476,23 20
1576159503,23 21
1576159529,22 23
1576159555,20 24
1576159580,21 23
1576159606,22 23
1576159634,23 20
1576159664,23 20
1576159691,23 21
1576159722,24 21
1576159749,20 26
1576159777,20 24
1576159804,20 25
1576159831,21 23
1576159856,23 21
1576159883,23 21
1576159909,23 21
1576160118,2m45 3m24
1576160334,2m31 60
1576160753,2m28 2m57
1576160967,2m46 2m54
1576161186,2m46 46
1576161403,2m46 47
1576161619,2m29 60
1576161835,2m31 3m30
1576162049,2m32 3m28
1576162267,2m46 45
1576162485,2m46 45
1576162704,2m47 46
1576162918,2m33 56
1576163134,2m30 60
1576163559,95 2m22
1576163777,2m35 57
