time,value
1576102649,1048.23
1576102715,1025.97
1576102792,549.03
1576102859,758.10
1576102927,767.05
1576102995,943.28
1576103065,787.41
1576103131,739.52
1576103198,818.75
1576103264,766.00
1576103331,844.35
1576103397,786.13
1576103462,812.54
1576103528,914.38
1576103593,827.50
1576103659,1009.83
1576103724,1032.27
1576103790,1033.97
1576103855,1062.97
1576103921,955.34
1576103989,948.09
1576104056,917.13
1576104124,951.27
1576104191,944.64
1576104261,935.45
1576104329,913.57
1576104397,948.42
1576104464,950.61
1576104529,984.00
1576104596,1042.48
1576104664,1008.04
1576104729,1031.28
1576104795,1045.23
1576104860,1043.63
1576104926,1039.03
1576104991,1033.39
1576105057,964.17
1576105122,970.00
1576105191,965.14
1576105260,978.45
1576105330,951.32
1576105399,967.45
1576105466,951.20
1576105532,949.96
1576105598,922.75
1576105665,975.32
1576105731,1003.57
1576105796,1022.62
1576105862,1038.90
1576105927,1035.63
1576105993,1062.30
