time,value
1576102650,968614179
1576102716,1000126010
1576102795,2606868767
1576102860,982452764
1576102929,1921172658
1576102996,1040185842
1576103066,962335238
1576103132,996516555
1576103199,967885099
1576103265,966158432
1576103332,1011829830
1576103398,946051964
1576103463,978088858
1576103529,926317921
1576103594,987895718
1576103660,943806111
1576103725,957158238
1576103791,945933538
1576103856,980149055
1576103922,972155847
1576103990,956000992
1576104057,961012945
1576104125,935949112
1576104192,948154885
1576104262,945457521
1576104330,981239077
1576104398,972626442
1576104465,944411130
1576104530,953029050
1576104597,932572978
1576104665,950081299
1576104730,941120343
1576104796,955781056
1576104861,947075738
1576104927,938026663
1576104992,962165018
1576105058,935138537
1576105123,1004561468
1576105192,931233098
1576105261,959904598
1576105331,948359812
1576105400,986741719
1576105467,959643984
1576105533,977797870
1576105599,973867048
1576105666,924774240
1576105732,961551393
1576105797,950229232
1576105863,959821499
1576105928,960288490
1576105994,964771450
