time,value
1576149073,18
1576149102,23
1576149130,22
1576149154,22
1576149178,22
1576149206,22
1576149236,22
1576149264,23
1576149293,22
1576149322,22
1576149352,22
1576149380,22
1576149410,22
1576149439,23
1576149468,22
1576149497,23
1576149527,22
1576149556,23
1576149585,22
1576149613,22
1576149642,22
1576149671,22
1576149701,22
1576149730,22
1576149820,86
1576150040,2m53
1576150262,2m54
1576150480,2m51
1576150703,2m54
1576150921,2m52
1576151139,2m53
1576151359,2m54
1576151580,2m54
1576151799,2m53
1576152021,2m55
1576152240,2m54
1576152462,2m54
1576152682,2m54
1576152901,2m52
1576153123,2m54
1576153343,2m53
1576153563,2m53
1576153784,2m53
1576154006,2m53
1576154225,2m53
1576154446,2m53
1576154668,2m51
1576154889,2m53
1576155111,2m54
1576155331,2m54
