time,value
1576088300,36422.570
1576088505,36684.916
1576088707,36688.936
1576088909,37103.111
1576089110,37592.022
1576089320,37246.358
1576089520,37147.057
1576089719,36621.526
1576089923,36674.541
1576090131,36196.726
1576090335,36416.633
1576090535,37235.528
1576090733,37396.905
1576090932,36779.100
1576091134,36981.177
1576091335,36909.954
1576091536,36164.351
1576091739,36694.249
1576091941,37191.979
1576092143,36913.123
1576092348,36828.434
1576092551,36322.994
1576092755,36284.469
1576092960,36118.582
1576093163,37052.277
1576093370,36333.964
1576096668,33048.528
1576096876,33261.490
1576097078,32972.653
1576097281,33063.061
1576097483,33192.154
1576097686,32949.731
1576097889,32875.923
1576098091,32822.709
1576098292,32957.633
1576098494,32947.173
1576098697,33353.856
1576098899,32975.601
1576099099,33165.380
1576099301,33237.318
1576099501,33064.606
1576099703,33135.060
1576099905,33033.979
1576100322,33419.340
1576100574,32857.787
1576100786,33206.610
1576100987,33255.141
1576101196,32989.054
1576101397,32907.224
1576101599,32910.450
