time,value
1576088461,1464.80
1576088663,1450.43
1576088865,1468.53
1576089067,1455.18
1576089277,1426.47
1576089476,1411.45
1576089675,1330.90
1576089879,1397.81
1576090086,1427.44
1576090290,1320.24
1576090491,1380.09
1576090690,1451.52
1576090889,1448.30
1576091090,1440.59
1576091292,1372.73
1576091492,1413.57
1576091695,1457.90
1576091897,1485.33
1576092100,1446.85
1576092304,1506.27
1576092507,1446.56
1576092711,1427.24
1576092915,1357.22
1576093120,1457.94
1576093326,1440.80
1576096848,1535.14
1576097050,1321.73
1576097253,1384.73
1576097455,1385.53
1576097658,1347.13
1576097860,1245.97
1576098063,949.95
1576098264,861.07
1576098465,1103.45
1576098669,1147.12
1576098870,1033.50
1576099071,1191.11
1576099273,1376.69
1576099473,1116.17
1576099675,1245.64
1576099876,1218.27
1576100077,1154.73
1576100546,1296.29
1576100758,1352.67
1576100959,1283.07
1576101167,1386.67
1576101369,1132.35
1576101571,1164.00
1576101773,1043.26
