time,value
1576088472,11082725478
1576088674,10937435300
1576088876,10836540621
1576089078,10979232287
1576089288,10766776924
1576089487,11123789173
1576089686,10907543107
1576089890,11296484690
1576090097,11070336030
1576090301,11040039742
1576090502,10898728396
1576090701,10755578859
1576090900,10786097211
1576091101,10951614020
1576091303,10958501705
1576091503,11019222452
1576091706,11077074837
1576091908,10935273462
1576092110,10737205926
1576092315,11018272019
1576092518,10955589578
1576092722,10875240590
1576092927,11274193603
1576093131,10947741276
1576093337,10800856959
1576096860,12101069880
1576097062,12133496506
1576097265,11996809330
1576097467,12133912482
1576097670,12271076010
1576097872,12273055756
1576098075,12046086708
1576098276,12215205917
1576098477,12089653992
1576098681,12055697840
1576098882,11886453032
1576099083,11980337927
1576099285,12084452389
1576099485,11943832098
1576099687,11915189528
1576099888,11965670139
1576100089,12000091887
1576100558,12208703818
1576100770,12017375061
1576100972,11960065705
1576101179,11976187968
1576101381,12123679830
1576101583,12083393744
1576101786,12193285426
