time,value
1576088440,38.995
1576088644,37.997
1576088846,37.931
1576089046,37.217
1576089248,37.085
1576089457,36.074
1576089656,36.131
1576089859,39.032
1576090063,39.343
1576090271,39.594
1576090472,37.121
1576090671,35.640
1576090870,36.048
1576091070,37.506
1576091272,38.154
1576091472,36.555
1576091675,38.857
1576091878,38.544
1576092080,38.618
1576092281,37.594
1576092488,39.464
1576092692,39.905
1576092896,40.868
1576093101,39.765
1576093303,38.912
1576096823,53.748
1576097030,53.794
1576097234,54.707
1576097436,53.575
1576097638,54.424
1576097841,54.171
1576098044,54.867
1576098245,54.022
1576098447,53.757
1576098648,54.398
1576098852,54.210
1576099053,52.798
1576099252,52.117
1576099454,52.466
1576099657,54.891
1576099858,53.467
1576100058,53.096
1576100526,03.846
1576100739,64.200
1576100940,53.304
1576101145,56.959
1576101350,53.417
1576101552,53.732
1576101754,54.506
