time,value
1576177769,37 61
1576177890,35 60
1576177959,63 64
1576178029,35 59
1576178098,37 59
1576178168,37 60
1576178238,50 59
1576178308,36 59
1576178378,56 65
1576178447,61 63
1576178518,42 70
1576178587,35 59
1576178658,55 69
1576178731,35 62
1576178801,37 60
1576178871,36 64
1576178941,46 64
1576179011,42 69
1576179081,37 69
1576179152,47 60
1576179221,47 63
1576179291,39 64
1576179361,36 59
1576179431,42 69
1576179501,35 69
1576179571,38 59
1576179641,63 65
1576179711,41 64
1576179781,49 68
1576179850,59 58
1576179920,37 59
1576179990,36 60
1576180061,51 70
1576180132,35 60
1576180203,62 61
1576180274,35 60
1576180345,60 70
1576180415,36 60
1576180486,36 60
1576180556,49 69
1576180626,59 57
1576180696,45 60
1576180765,43 62
1576180834,35 59
1576180905,54 60
1576180973,43 68
1576181042,43 58
1576181111,36 58
1576181181,41 68
1576181252,42 65
1576181321,36 59
1576181391,35 69
