time,value
1574119509,3262
1574119734,3263
1574120155,3262
1574121674,3261
1574125255,3254
1574128854,3262
1574132454,3263
1574136074,3258
1574139655,3262
1574143254,3262
1574146855,3262
1574150455,3263
1574154055,3263
1574157655,3231
1574161254,3262
1574164854,3262
1574168455,3263
1574172054,3263
1574175655,3263
1574179254,3262
1574182875,3255
1574186455,3247
1574190054,3263
1574193655,3263
1574197255,3262
1574200854,3262
1574204455,3262
1574208075,3262
1574211655,3263
1574215255,3262
1574218855,3261
1574222474,3258
1574226075,3263
1574229654,3263
1574233254,3263
1574236874,3262
1574240475,3262
1574244054,3263
1574247655,3263
1574251254,3263
1574254854,3262
1574258454,3262
1574262055,3262
1574265655,3263
1574269254,3263
1574272855,3262
1574276455,3262
1574280054,3262
1574283654,3263
1574287255,3263
1574290854,3261
1574294455,3262
1574298054,3262
1574301654,3263
1574305255,3263
1574308854,3263
1574312455,3262
1574316074,3257
1574319654,3262
1574323254,3263
1574326855,3263
1574330475,3263
1574334055,3262
