time,value
1574119538,76.028
1574119763,76.086
1574120184,76.005
1574121703,74.510
1574125284,76.016
1574128883,76.034
1574132483,76.155
1574136103,74.432
1574139684,74.794
1574143283,74.610
1574146884,74.867
1574150484,75.171
1574154084,74.476
1574157684,75.233
1574161283,74.117
1574164883,74.482
1574168484,75.278
1574172083,74.471
1574175684,74.521
1574179284,74.510
1574182904,74.482
1574186484,74.850
1574190084,74.498
1574193684,74.476
1574197284,74.410
1574200883,74.493
1574204484,74.587
1574208104,75.041
1574211684,74.515
1574215285,74.096
1574218884,74.139
1574222503,73.751
1574226104,74.150
1574229683,74.487
1574233283,74.493
1574236904,74.332
1574240504,74.498
1574244083,74.515
1574247684,74.504
1574251283,74.465
1574254883,74.482
1574258483,74.310
1574262084,74.349
1574265684,74.487
1574269283,75.221
1574272884,74.471
1574276484,74.515
1574280083,74.504
1574283683,74.465
1574287284,74.504
1574290883,74.493
1574294484,74.476
1574298083,74.476
1574301683,74.449
1574305284,74.554
1574308883,74.682
1574312484,74.454
1574316103,74.476
1574319683,74.354
1574323284,74.482
1574326884,74.465
1574330504,74.487
1574334084,74.504
