time,value
1574154048,1486279.592
1574157649,1392538.090
1574161250,1381625.061
1574164850,1394415.190
1574168450,1400010.029
1574172050,1343954.465
1574175653,1327033.593
1574179250,1370168.618
1574182848,1452687.997
1574186449,1406881.665
1574190050,1381355.697
1574193649,1461552.215
1574197250,1389106.305
1574200847,1470458.927
1574204450,1382675.281
1574208051,1359300.999
1574211648,1487014.571
1574215247,1500774.017
1574218850,1398941.025
1574222450,1421882.487
1574226048,1464688.482
1574229649,1414300.359
1574233250,1365006.209
1574236849,1420173.793
1574240450,1384884.533
1574244051,1374790.625
1574247649,1410383.367
1574251250,1382227.617
1574254850,1411686.448
1574258452,1347393.657
1574262050,1388055.453
1574265649,1391815.707
1574269253,1366374.320
1574272850,1386174.341
1574276452,1340775.529
1574280052,1334282.443
1574283650,1360994.256
1574287249,1406950.008
1574290851,1381885.853
1574294451,1381238.523
1574298052,1331866.757
1574301649,1443647.326
1574305249,1439562.415
1574308850,1411062.114
1574312450,1413929.325
1574316050,1439982.677
1574319650,1409360.893
1574323248,1428895.372
1574326849,1428447.755
1574330451,1380568.308
