time,value
1574154112,165
1574157713,165
1574161314,165
1574164916,165
1574168513,165
1574172115,165
1574175717,165
1574179314,165
1574182913,165
1574186513,165
1574190115,165
1574193713,165
1574197314,165
1574200912,165
1574204515,165
1574208116,165
1574211712,165
1574215312,165
1574218914,165
1574222515,165
1574226113,165
1574229711,164
1574233314,165
1574236913,165
1574240514,164
1574244115,165
1574247714,165
1574251315,165
1574254914,165
1574258516,165
1574262116,165
1574265721,164
1574269325,164
1574272922,164
1574276523,164
1574280123,164
1574283722,165
1574287321,165
1574290923,165
1574294523,165
1574298123,165
1574301720,165
1574305319,165
1574308921,165
1574312520,165
1574316120,165
1574319719,165
1574323317,165
1574326919,165
1574330521,165
