time,value
1574154162,128.040
1574157763,127.909
1574161364,127.942
1574164966,127.909
1574168563,127.991
1574172165,127.844
1574175767,127.959
1574179364,127.893
1574182963,127.942
1574186563,127.795
1574190165,127.893
1574193763,127.942
1574197364,127.877
1574200962,127.860
1574204565,127.828
1574208166,128.040
1574211762,127.811
1574215362,127.893
1574218964,127.844
1574222565,127.697
1574226163,127.975
1574229761,127.893
1574233365,127.893
1574236963,127.779
1574240564,127.877
1574244165,127.877
1574247764,127.877
1574251365,127.648
1574254964,128.057
1574258566,127.893
1574262166,127.991
1574265772,127.909
1574269375,127.534
1574272972,127.828
1574276573,127.877
1574280174,127.909
1574283772,127.942
1574287371,127.860
1574290973,127.713
1574294573,127.681
1574298173,127.877
1574301771,127.502
1574305369,127.307
1574308971,127.567
1574312570,127.762
1574316170,127.420
1574319769,127.844
1574323368,127.697
1574326969,127.307
1574330571,127.665
