time,value
1574154082,33.955
1574157683,33.951
1574161284,34.223
1574164884,33.979
1574168483,33.749
1574172085,34.027
1574175687,34.235
1574179284,33.235
1574182883,34.454
1574186483,34.220
1574190085,34.225
1574193683,34.228
1574197284,34.219
1574200882,34.474
1574204485,34.470
1574208086,34.316
1574211682,34.209
1574215282,34.219
1574218884,34.671
1574222485,34.485
1574226083,34.232
1574229681,32.475
1574233285,34.183
1574236883,34.477
1574240484,33.976
1574244085,34.461
1574247684,34.244
1574251285,34.499
1574254884,34.208
1574258486,34.447
1574262085,34.030
1574265691,41.972
1574269295,41.742
1574272892,41.754
1574276493,41.231
1574280093,41.458
1574283692,41.705
1574287291,41.286
1574290893,41.934
1574294493,41.496
1574298093,41.173
1574301690,41.439
1574305289,40.460
1574308891,41.235
1574312490,39.056
1574316090,39.480
1574319689,39.195
1574323287,39.190
1574326889,39.677
1574330491,39.468
